RecordID_Int,ParcelNumber,StreetNumber,StreetName,Unit,StateCode,TaxType,Zone,TaxDist,Legal,Acreage,GPIN
12561,530112B00,619,E HIGH ST,B,4.0 Commercial & Industrial,Taxable,CX-5,,UNIT B COURT SQUARE CONDO,0,6563
12562,530113000,615,E HIGH ST,,3.0 Multi-Family,Taxable,CX-5,,LOT 4,0.08,6553
12563,530114000,609,E HIGH ST,,4.0 Commercial & Industrial,Taxable,CX-5,,LOT 3,0.08,6543
12564,530115000,402,PARK ST,,4.0 Commercial & Industrial,Taxable,CX-5,,LOT 1 & PARCEL X,0.62,6477
12565,530117000,408,PARK ST,,4.0 Commercial & Industrial,Taxable,CX-5,,PARCEL 1,0.13,6456
12566,530118000,414,PARK ST,,4.0 Commercial & Industrial,Taxable,CX-5,,LOT 3,0.13,6433
12567,530119000,416,PARK ST,,4.0 Commercial & Industrial,Taxable,CX-5,,LOT,0.19,6395
12568,530120000,420,PARK ST,,4.0 Commercial & Industrial,Taxable,CX-5,,LOT,0.18,6361
12569,530121000,612,MAPLE ST,,4.0 Commercial & Industrial,Taxable,CX-5,,LOT 2,0.26,6387
12570,530122000,425,7TH ST NE,,4.0 Commercial & Industrial,Taxable,CX-5,,LOT A,0.09,6408
12571,530122100,413,7TH ST NE,,4.0 Commercial & Industrial,Taxable,CX-5,,LOT B,0.16,6438
12572,530123000,500,PARK ST,,7.7 Exempt Religious,Exempt,CX-5,,LOT,1.87,6139
12573,530125000,532,PARK ST,,1.0 Residential (Urban),Taxable,R-B,,PT LOT 101,0.48,5864
12574,530126000,534,PARK ST,,1.0 Residential (Urban),Taxable,R-B,,LOT,0.25,5810
12575,530128000,620,FARISH ST,,1.0 Residential (Urban),Taxable,R-B,01,LOT,0.41,5869
12576,530129000,622,FARISH ST,,1.0 Residential (Urban),Taxable,R-B,,LOTS 1 & 2,0.65,5898
12577,530131000,0,8TH ST NE,,4.0 Commercial & Industrial,Taxable,CX-3,,LOT B,0.95,6032
12578,530131100,516,PARK ST,,7.7 Exempt Religious,Exempt,CX-3,,LOT A,1.34,5938
12580,530132000,513,8TH ST NE,,1.0 Residential (Urban),Taxable,R-B,,PT LOT 6,0.06,6238
12581,530133000,520,7TH ST NE,,1.0 Residential (Urban),Taxable,R-B,,PT LOTS 3 & 4,0.11,6216
12582,530134000,508,7TH ST NE,,3.0 Multi-Family,Taxable,R-B,,PT LOTS 3 & 4,0.14,6261
12583,530135000,511,8TH ST NE,,1.0 Residential (Urban),Taxable,R-B,,LOT 5,0.06,6263
12584,530136000,509,8TH ST NE,,1.0 Residential (Urban),Taxable,R-B,,LOT 4,0.06,6283
12585,530137000,507,8TH ST NE,,1.0 Residential (Urban),Taxable,R-B,,LOT 3,0.06,6304
12586,530138000,505,8TH ST NE,,1.0 Residential (Urban),Taxable,R-B,,LOT 2,0.08,6339
12587,530139000,506,7TH ST NE,,3.0 Multi-Family,Taxable,R-B,,LOT,0.1,6320
12588,530140000,701,MAPLE ST,,3.0 Multi-Family,Taxable,R-B,,LOT,0.14,6369
12589,530141000,705,MAPLE ST,,3.0 Multi-Family,Taxable,R-B,,PT LOT 2,0.1,6370
12590,530142000,503,8TH ST NE,,1.0 Residential (Urban),Taxable,R-B,,PT LOT 1,0.02,6377
12591,530143000,707,MAPLE ST,,3.0 Multi-Family,Taxable,R-B,,PT LOT 7,0.06,6397
12592,530144000,701,E HIGH ST,,3.0 Multi-Family,Taxable,CX-8,,LOTS,1.13,6432
12593,530150000,710,E HIGH ST,,4.0 Commercial & Industrial,Taxable,CX-8,,LOT,0.11,6712
12594,530151000,700,E HIGH ST,,4.0 Commercial & Industrial,Taxable,CX-8,,PT LOT 17,0.11,6690
12595,530152000,703,E JEFFERSON ST,,4.0 Commercial & Industrial,Taxable,DX,,LOT & PARCEL X,0.11,6750
12596,530153000,707,E JEFFERSON ST,,4.0 Commercial & Industrial,Taxable,DX,,LOT,0.11,6776
12597,530155000,700,E JEFFERSON ST,,7.3 Exempt Local,Exempt,DX,,LOTS,0,6855
12598,530155L00,212,7TH ST NE,,4.0 Commercial & Industrial,Taxable,DX,,LOTS,0,6855
12605,530159000,701,E MARKET ST,,7.3 Exempt Local,Exempt,CV,,LOT,0.41,7124
12606,530160000,120,7TH ST NE,,7.3 Exempt Local,Exempt,CV,,LOT,0.9,7279
12607,530160L00,700,E MAIN ST,,4.0 Commercial & Industrial,Taxable,CV,,LOT,1.651,7279
12608,530162100,600,E WATER ST,,4.0 Commercial & Industrial,Taxable,NX-10,,RESIDUE,0.54,7743
12609,530162200,701,E WATER ST,,4.0 Commercial & Industrial,Taxable,NX-10,,PARCEL A-1,3.49,7572
12610,530162300,550,E WATER ST,,4.0 Commercial & Industrial,Taxable,NX-10,,COMMON ELEMENTS 550 WATER STREET CONDOS,0.27,15096
12611,530162301,550,E WATER ST,100,4.0 Commercial & Industrial,Taxable,NX-10,,UNIT 100 550 WATER STREET CONDO,0,15096
12612,530162302,550,E WATER ST,101,4.0 Commercial & Industrial,Taxable,NX-10,,UNIT 101 550 WATER STREET CONDO,0,15096
12613,530162303,550,E WATER ST,200,4.0 Commercial & Industrial,Taxable,NX-10,,UNIT 200 550 WATER STREET CONDO,0,15096
12614,530162304,550,E WATER ST,201,1.0 Residential (Urban),Taxable,NX-10,,UNIT 201 550 WATER STREET CONDO,0,15096
12615,530162305,550,E WATER ST,300,1.0 Residential (Urban),Taxable,NX-10,,UNIT 300 550 WATER STREET CONDO,0,15096
12616,530162306,550,E WATER ST,400A,1.0 Residential (Urban),Taxable,NX-10,,UNIT 400A 550 WATER STREET CONDO,0,15096
