RecordID_Int,Basement,BasementGarage,Bedrooms,BasementType,ExternalWalls,FinishedBasement,Flooring,Fireplace,FullBathrooms,Grade,HalfBathrooms,Heating,NumberOfStories,ParcelNumber,Roof,SquareFootageFinishedLiving,StreetName,StreetNumber,Style,TotalRooms,Unit,UseCode,YearBuilt
9245,1648,1,3,Full Basement,Brick Veneer,826,Hardwood,1,3,C++,0,Baseboard,1.00,42B066000,Shingles,1648,HOLLY CT,106,1 Sty w/ Bsmt,10,,Single Family,1968
9246,1627,1,3,Full Basement,Brick Veneer,,Hardwood,2,3,B,0,Forced Air,1.00,42B067000,Arch Shingles,1627,HOLLY CT,108,1 Story,7,,Single Family,1969
9247,619,0,3,Partial Basement,Wood,557,Hardwood,2,2,C++,1,Forced Air,2.00,42B068000,Rubber,1332,HOLLY CT,110,Contemporary,7,,Single Family,1976
9248,1007,0,4,Partial Basement,Wood,850,Other,0,2,C++,0,Forced Air,1.00,42B069000,Built Up,1787,HOLLY RD,1502,Contemporary,8,,Single Family,1979
9249,1084,0,3,Full Basement,Wood,,Hardwood,1,2,C +,1,Hot Water Baseboard,2.00,42B071000,Shingles,1883,HOLLY RD,1506,2 Story,8,,Single Family,1972
9250,1893,0,5,Full Basement,Brick Veneer,1843,Hardwood,2,3,B +,0,Forced Air,1.00,42B072000,Arch Shingles,1893,HOLLY RD,1508,Split-Foyer Exc,12,,Single Family,1966
9251,945,0,5,Partial Basement,Brick Veneer,562,Hardwood,2,3,B +,1,Forced Air,2.00,42B073000,Arch Shingles,2226,JAMESTOWN DR,1508,2 Story,11,,Single Family-1 Conversion,1965
9252,1695,1,4,Partial Basement,Brick Veneer,470,Hardwood,2,3,A -,3,Forced Air,2.00,42B074000,Shingles,3442,JAMESTOWN DR,1512,2 Sty Excellent,8,,Single Family,1966
9253,1405,2,3,Partial Basement,Brick Veneer,,Hardwood,1,2,C +,0,Hot Water Radiator,1.00,42B075000,Shingles,1585,LESTER DR,1421,1 Story,7,,Single Family,1967
9254,1696,0,3,Full Basement,Brick Veneer,930,Hardwood,1,2,C++,1,Forced Air,1.00,42B076000,Arch Shingles,1696,LESTER DR,1419,1 Story,6,,Single Family,1960
9255,1508,0,3,Partial Basement,Brick Veneer,,Hardwood,2,3,C++,0,Forced Air,1.00,42B077000,Arch Shingles,1677,LESTER DR,1417,1 Story,6,,Single Family,1960
9256,1425,0,4,Full Basement,Brick Veneer,1273,Hardwood,2,3,C++,0,Forced Air,1.00,42B078000,Arch Shingles,1473,LESTER DR,1415,1 Sty (Avg),11,,Single Family,1963
9257,1431,0,4,Full Basement,Brick Veneer,720,Hardwood,1,2,C,0,Forced Air,1.00,42B079000,Arch Shingles,1431,LESTER DR,1413,1 Sty (Avg),7,,Single Family,1972
9258,1479,0,4,Full Basement,Brick Veneer,783,Hardwood,2,2,C++,1,Forced Air,2.00,42B080000,Arch Shingles,1479,LESTER DR,1411,Split-Level,8,,Single Family,1962
9259,1432,0,3,Full Basement,Brick Veneer,904,Hardwood,0,4,C++,0,Heat Pump,1.00,42B081000,Built Up,1432,JAMESTOWN DR,1511,1 Story,7,,Single Family,1980
9260,928,0,4,Partial Basement,Wood,476,Hardwood,1,3,B +,0,Forced Air,2.00,42B082000,Shingles,2002,JAMESTOWN DR,1500,2 Sty Contemporary,9,,Single Family-1 Conversion,1978
9261,1566,0,4,Full Basement,Brick Veneer,1490,Hardwood,2,3,C +,0,Forced Air,1.00,42B083000,Shingles,1566,LESTER DR,1407,1 Sty (Avg),11,,Single Family,1956
9262,1305,0,3,Partial Basement,Brick Veneer,700,Hardwood,2,3,C++,0,Forced Air,1.00,42B084000,Arch Shingles,1653,LESTER DR,1405,1 Story,6,,Single Family,1964
9263,0,,,,,0,,,,,,,,42B085000,,,GREENBRIER DR,1900,,,,Vacant Land,
9264,1485,0,3,Partial Basement,Brick Veneer,737,Hardwood,1,3,B -,0,Forced Air,1.00,42B086000,Arch Shingles,1695,JAMESTOWN DR,1600,1 Story,6,,Single Family,1964
9265,810,0,4,Partial Basement,Brick Veneer,612,Hardwood,2,2,B -,1,Forced Air,1.00,42B087000,Arch Shingles,1713,JAMESTOWN DR,1602,1 Story,8,,Single Family,1961
9266,1512,1,4,Walkout Basement,Brick Veneer,1198,Hardwood,2,3,B,0,Forced Air,1.00,42B088000,Arch Shingles,1512,JAMESTOWN DR,1604,1 Sty w/ Bsmt,10,,Single Family,1960
9267,1624,0,4,Walkout Basement,Brick Veneer,820,Hardwood,2,2,C++,1,Forced Air,1.00,42B089000,Shingles,1624,JAMESTOWN DR,1606,4-Level Split,10,,Single Family,1961
9268,1225,0,3,Partial Basement,Wood,1058,Hardwood,2,3,B -,0,Forced Air,1.00,42B090000,Arch Shingles,1407,JAMESTOWN DR,1608,1 Sty w/ Bsmt,8,,Single Family,1971
9269,1200,0,4,Partial Basement,Brick Veneer,910,Hardwood,2,3,C +,0,Forced Air,1.00,42B091000,Arch Shingles,1260,JAMESTOWN DR,1610,Split-Foyer (Avg),8,,Single Family,1971
9270,1300,0,3,Full Basement,Wood,722,W/W Carpet,2,2,C,0,Forced Air,1.00,42B092000,Arch Shingles,1300,GREENBRIER DR,1916,1 Sty (Avg),6,,Single Family,1974
9271,1300,0,3,Full Basement,Wood,1300,W/W Carpet,2,2,C,0,Heat Pump,1.00,42B093000,Shingles,1300,GREENBRIER DR,1918,1 Sty (Avg),6,,Single Family,1974
9272,1734,0,3,Full Basement,Wood,,Hardwood,2,2,C +,0,Forced Air,1.00,42B094000,Shingles,1734,GREENBRIER DR,1920,1 Sty (Avg),6,,Single Family,1958
9273,1809,1,4,Full Basement,Brick Veneer,566,Hardwood,2,3,C,0,Forced Air,1.00,42B095000,Shingles,1809,GREENBRIER DR,1922,1 Sty (Avg),9,,Single Family,1957
9274,1300,0,4,Full Basement,Cedar,1167,W/W Carpet,2,4,C +,0,Forced Air,1.00,42B096000,Arch Shingles,1636,GREENBRIER DR,1924,1 Story,7,,Single Family,1974
9275,1450,0,4,Full Basement,Brick Veneer,1450,Hardwood,2,3,B -,0,Heat Pump,1.00,42B097000,Arch Shingles,1450,GREENBRIER DR,2000,1 Story,7,,Single Family,1966
9276,1755,0,3,Full Basement,Brick Veneer,900,Hardwood,2,3,C,0,Forced Air,1.00,42B098000,Shingles,1575,GREENBRIER DR,2002,1 Sty (Avg),7,,Single Family,1959
9277,1497,0,3,Full Basement,Brick Veneer,612,Hardwood,1,2,B -,0,Forced Air,1.00,42B099000,Shingles,1497,GREENBRIER DR,2004,1 Sty (Avg),7,,Single Family,1957
9278,810,0,3,Partial Basement,Brick Veneer,672,Hardwood,1,2,B -,0,Forced Air,1.00,42B100000,Shingles,1592,GREENBRIER DR,2006,Split-Level,7,,Single Family,1962
9279,1505,0,5,Full Basement,Brick Veneer,575,Hardwood,1,3,C++,1,Forced Air,2.00,42B101000,Shingles,2380,GREENBRIER DR,2008,2 Story,12,,Single Family,1959
9280,870,0,4,Partial Basement,Brick Veneer,870,Hardwood,2,3,B +,0,Forced Air,1.0,42B102000,Arch Shingles,1518,GREENBRIER DR,2010,Split-Level Superior,10,,Single Family,1959
9281,1495,0,3,Full Basement,Brick Veneer,600,Hardwood,1,3,C +,0,Forced Air,1.00,42B103000,Arch Shingles,1561,GREENBRIER DR,2012,1 Sty (Avg),9,,Single Family,1958
9282,,0,3,No Basement,Brick Veneer,,Hardwood,1,2,B +,No dat,Forced Air,1.00,42B104000,Arch Shingles,1680,TARLETON DR,2100,1 Sty (Avg),7,,Single Family,1957
